# Provides a simple reset and then 10692 fast commands with 3 event packets (with 7 BXs of delay)
# The data idle word will contain the special 0x9 header for BC0
# Hard reset,Soft reset,Aligner Ch0 (32 bit),Aligner Ch1 (32 bit),Aligner Ch2 (32 bit),Aligner Ch3 (32 bit),Aligner Ch4 (32 bit),Aligner Ch5 (32 bit),Aligner Ch6 (32 bit),Aligner Ch7 (32 bit),Aligner Ch8 (32 bit),Aligner Ch9 (32 bit),Aligner Ch10 (32 bit),Aligner Ch11 (32 bit),Fast Command (8 bit)
# start
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_L1A
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,50320015,50320045,50320015,50320025,50320005,50320055,50320035,50320025,50320005,50320065,50320035,50320065,FASTCMD_IDLE
1,1,01010101,12011201,23012301,34013401,45014501,56015601,67016701,78017801,89018901,9A019A01,AB01AB01,BC01BC01,FASTCMD_IDLE
1,1,01020102,12021202,23022302,34023402,45024502,56025602,67026702,78027802,89028902,9A029A02,AB02AB02,BC02BC02,FASTCMD_IDLE
1,1,01030103,12031203,23032303,34033403,45034503,56035603,67036703,78037803,89038903,9A039A03,AB03AB03,BC03BC03,FASTCMD_IDLE
1,1,01040104,12041204,23042304,34043404,45044504,56045604,67046704,78047804,89048904,9A049A04,AB04AB04,BC04BC04,FASTCMD_IDLE
1,1,01050105,12051205,23052305,34053405,45054505,56055605,67056705,78057805,89058905,9A059A05,AB05AB05,BC05BC05,FASTCMD_IDLE
1,1,01060106,12061206,23062306,34063406,45064506,56065606,67066706,78067806,89068906,9A069A06,AB06AB06,BC06BC06,FASTCMD_IDLE
1,1,01070107,12071207,23072307,34073407,45074507,56075607,67076707,78077807,89078907,9A079A07,AB07AB07,BC07BC07,FASTCMD_IDLE
1,1,01080108,12081208,23082308,34083408,45084508,56085608,67086708,78087808,89088908,9A089A08,AB08AB08,BC08BC08,FASTCMD_IDLE
1,1,01090109,12091209,23092309,34093409,45094509,56095609,67096709,78097809,89098909,9A099A09,AB09AB09,BC09BC09,FASTCMD_IDLE
1,1,010A010A,120A120A,230A230A,340A340A,450A450A,560A560A,670A670A,780A780A,890A890A,9A0A9A0A,AB0AAB0A,BC0ABC0A,FASTCMD_IDLE
1,1,010B010B,120B120B,230B230B,340B340B,450B450B,560B560B,670B670B,780B780B,890B890B,9A0B9A0B,AB0BAB0B,BC0BBC0B,FASTCMD_IDLE
1,1,010C010C,120C120C,230C230C,340C340C,450C450C,560C560C,670C670C,780C780C,890C890C,9A0C9A0C,AB0CAB0C,BC0CBC0C,FASTCMD_IDLE
1,1,010D010D,120D120D,230D230D,340D340D,450D450D,560D560D,670D670D,780D780D,890D890D,9A0D9A0D,AB0DAB0D,BC0DBC0D,FASTCMD_IDLE
1,1,010E010E,120E120E,230E230E,340E340E,450E450E,560E560E,670E670E,780E780E,890E890E,9A0E9A0E,AB0EAB0E,BC0EBC0E,FASTCMD_IDLE
1,1,010F010F,120F120F,230F230F,340F340F,450F450F,560F560F,670F670F,780F780F,890F890F,9A0F9A0F,AB0FAB0F,BC0FBC0F,FASTCMD_IDLE
1,1,01100110,12101210,23102310,34103410,45104510,56105610,67106710,78107810,89108910,9A109A10,AB10AB10,BC10BC10,FASTCMD_IDLE
1,1,01110111,12111211,23112311,34113411,45114511,56115611,67116711,78117811,89118911,9A119A11,AB11AB11,BC11BC11,FASTCMD_IDLE
1,1,01120112,12121212,23122312,34123412,45124512,56125612,67126712,78127812,89128912,9A129A12,AB12AB12,BC12BC12,FASTCMD_IDLE
1,1,01130113,12131213,23132313,34133413,45134513,56135613,67136713,78137813,89138913,9A139A13,AB13AB13,BC13BC13,FASTCMD_IDLE
1,1,01140114,12141214,23142314,34143414,45144514,56145614,67146714,78147814,89148914,9A149A14,AB14AB14,BC14BC14,FASTCMD_IDLE
1,1,01150115,12151215,23152315,34153415,45154515,56155615,67156715,78157815,89158915,9A159A15,AB15AB15,BC15BC15,FASTCMD_IDLE
1,1,01160116,12161216,23162316,34163416,45164516,56165616,67166716,78167816,89168916,9A169A16,AB16AB16,BC16BC16,FASTCMD_IDLE
1,1,01170117,12171217,23172317,34173417,45174517,56175617,67176717,78177817,89178917,9A179A17,AB17AB17,BC17BC17,FASTCMD_IDLE
1,1,01180118,12181218,23182318,34183418,45184518,56185618,67186718,78187818,89188918,9A189A18,AB18AB18,BC18BC18,FASTCMD_IDLE
1,1,01190119,12191219,23192319,34193419,45194519,56195619,67196719,78197819,89198919,9A199A19,AB19AB19,BC19BC19,FASTCMD_IDLE
1,1,011A011A,121A121A,231A231A,341A341A,451A451A,561A561A,671A671A,781A781A,891A891A,9A1A9A1A,AB1AAB1A,BC1ABC1A,FASTCMD_IDLE
1,1,011B011B,121B121B,231B231B,341B341B,451B451B,561B561B,671B671B,781B781B,891B891B,9A1B9A1B,AB1BAB1B,BC1BBC1B,FASTCMD_IDLE
1,1,011C011C,121C121C,231C231C,341C341C,451C451C,561C561C,671C671C,781C781C,891C891C,9A1C9A1C,AB1CAB1C,BC1CBC1C,FASTCMD_IDLE
1,1,011D011D,121D121D,231D231D,341D341D,451D451D,561D561D,671D671D,781D781D,891D891D,9A1D9A1D,AB1DAB1D,BC1DBC1D,FASTCMD_IDLE
1,1,011E011E,121E121E,231E231E,341E341E,451E451E,561E561E,671E671E,781E781E,891E891E,9A1E9A1E,AB1EAB1E,BC1EBC1E,FASTCMD_IDLE
1,1,011F011F,121F121F,231F231F,341F341F,451F451F,561F561F,671F671F,781F781F,891F891F,9A1F9A1F,AB1FAB1F,BC1FBC1F,FASTCMD_IDLE
1,1,01200120,12201220,23202320,34203420,45204520,56205620,67206720,78207820,89208920,9A209A20,AB20AB20,BC20BC20,FASTCMD_IDLE
1,1,01210121,12211221,23212321,34213421,45214521,56215621,67216721,78217821,89218921,9A219A21,AB21AB21,BC21BC21,FASTCMD_IDLE
1,1,01220122,12221222,23222322,34223422,45224522,56225622,67226722,78227822,89228922,9A229A22,AB22AB22,BC22BC22,FASTCMD_IDLE
1,1,01230123,12231223,23232323,34233423,45234523,56235623,67236723,78237823,89238923,9A239A23,AB23AB23,BC23BC23,FASTCMD_IDLE
1,1,01240124,12241224,23242324,34243424,45244524,56245624,67246724,78247824,89248924,9A249A24,AB24AB24,BC24BC24,FASTCMD_IDLE
1,1,01250125,12251225,23252325,34253425,45254525,56255625,67256725,78257825,89258925,9A259A25,AB25AB25,BC25BC25,FASTCMD_IDLE
1,1,01260126,12261226,23262326,34263426,45264526,56265626,67266726,78267826,89268926,9A269A26,AB26AB26,BC26BC26,FASTCMD_IDLE
1,1,01270127,12271227,23272327,34273427,45274527,56275627,67276727,78277827,89278927,9A279A27,AB27AB27,BC27BC27,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_L1A
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,50640445,50640435,50640405,50640415,50640455,50640435,50640475,50640435,50640475,50640415,50640435,50640465,FASTCMD_IDLE
1,1,C101C101,D201D201,E301E301,F401F401,05010501,16011601,27012701,38013801,49014901,5A015A01,6B016B01,7C017C01,FASTCMD_IDLE
1,1,C102C102,D202D202,E302E302,F402F402,05020502,16021602,27022702,38023802,49024902,5A025A02,6B026B02,7C027C02,FASTCMD_IDLE
1,1,C103C103,D203D203,E303E303,F403F403,05030503,16031603,27032703,38033803,49034903,5A035A03,6B036B03,7C037C03,FASTCMD_IDLE
1,1,C104C104,D204D204,E304E304,F404F404,05040504,16041604,27042704,38043804,49044904,5A045A04,6B046B04,7C047C04,FASTCMD_IDLE
1,1,C105C105,D205D205,E305E305,F405F405,05050505,16051605,27052705,38053805,49054905,5A055A05,6B056B05,7C057C05,FASTCMD_IDLE
1,1,C106C106,D206D206,E306E306,F406F406,05060506,16061606,27062706,38063806,49064906,5A065A06,6B066B06,7C067C06,FASTCMD_IDLE
1,1,C107C107,D207D207,E307E307,F407F407,05070507,16071607,27072707,38073807,49074907,5A075A07,6B076B07,7C077C07,FASTCMD_IDLE
1,1,C108C108,D208D208,E308E308,F408F408,05080508,16081608,27082708,38083808,49084908,5A085A08,6B086B08,7C087C08,FASTCMD_IDLE
1,1,C109C109,D209D209,E309E309,F409F409,05090509,16091609,27092709,38093809,49094909,5A095A09,6B096B09,7C097C09,FASTCMD_IDLE
1,1,C10AC10A,D20AD20A,E30AE30A,F40AF40A,050A050A,160A160A,270A270A,380A380A,490A490A,5A0A5A0A,6B0A6B0A,7C0A7C0A,FASTCMD_IDLE
1,1,C10BC10B,D20BD20B,E30BE30B,F40BF40B,050B050B,160B160B,270B270B,380B380B,490B490B,5A0B5A0B,6B0B6B0B,7C0B7C0B,FASTCMD_IDLE
1,1,C10CC10C,D20CD20C,E30CE30C,F40CF40C,050C050C,160C160C,270C270C,380C380C,490C490C,5A0C5A0C,6B0C6B0C,7C0C7C0C,FASTCMD_IDLE
1,1,C10DC10D,D20DD20D,E30DE30D,F40DF40D,050D050D,160D160D,270D270D,380D380D,490D490D,5A0D5A0D,6B0D6B0D,7C0D7C0D,FASTCMD_IDLE
1,1,C10EC10E,D20ED20E,E30EE30E,F40EF40E,050E050E,160E160E,270E270E,380E380E,490E490E,5A0E5A0E,6B0E6B0E,7C0E7C0E,FASTCMD_IDLE
1,1,C10FC10F,D20FD20F,E30FE30F,F40FF40F,050F050F,160F160F,270F270F,380F380F,490F490F,5A0F5A0F,6B0F6B0F,7C0F7C0F,FASTCMD_IDLE
1,1,C110C110,D210D210,E310E310,F410F410,05100510,16101610,27102710,38103810,49104910,5A105A10,6B106B10,7C107C10,FASTCMD_IDLE
1,1,C111C111,D211D211,E311E311,F411F411,05110511,16111611,27112711,38113811,49114911,5A115A11,6B116B11,7C117C11,FASTCMD_IDLE
1,1,C112C112,D212D212,E312E312,F412F412,05120512,16121612,27122712,38123812,49124912,5A125A12,6B126B12,7C127C12,FASTCMD_IDLE
