# Provides a simple reset and then 10692 fast commands with 3 event packets (with 7 BXs of delay)
# The data idle word will contain the special 0x9 header for BC0
# Hard reset,Soft reset,Aligner Ch0 (32 bit),Aligner Ch1 (32 bit),Aligner Ch2 (32 bit),Aligner Ch3 (32 bit),Aligner Ch4 (32 bit),Aligner Ch5 (32 bit),Aligner Ch6 (32 bit),Aligner Ch7 (32 bit),Aligner Ch8 (32 bit),Aligner Ch9 (32 bit),Aligner Ch10 (32 bit),Aligner Ch11 (32 bit),Fast Command (8 bit)
# start
1,1,01090109,02090209,03090309,04090409,05090509,06090609,07090709,08090809,09090909,0A090A09,0B090B09,0C090C09,FASTCMD_IDLE
1,1,010A010A,020A020A,030A030A,040A040A,050A050A,060A060A,070A070A,080A080A,090A090A,0A0A0A0A,0B0A0B0A,0C0A0C0A,FASTCMD_IDLE
1,1,010B010B,020B020B,030B030B,040B040B,050B050B,060B060B,070B070B,080B080B,090B090B,0A0B0A0B,0B0B0B0B,0C0B0C0B,FASTCMD_IDLE
1,1,010C010C,020C020C,030C030C,040C040C,050C050C,060C060C,070C070C,080C080C,090C090C,0A0C0A0C,0B0C0B0C,0C0C0C0C,FASTCMD_IDLE
1,1,010D010D,020D020D,030D030D,040D040D,050D050D,060D060D,070D070D,080D080D,090D090D,0A0D0A0D,0B0D0B0D,0C0D0C0D,FASTCMD_IDLE
1,1,010E010E,020E020E,030E030E,040E040E,050E050E,060E060E,070E070E,080E080E,090E090E,0A0E0A0E,0B0E0B0E,0C0E0C0E,FASTCMD_IDLE
1,1,010F010F,020F020F,030F030F,040F040F,050F050F,060F060F,070F070F,080F080F,090F090F,0A0F0A0F,0B0F0B0F,0C0F0C0F,FASTCMD_IDLE
1,1,01100110,02100210,03100310,04100410,05100510,06100610,07100710,08100810,09100910,0A100A10,0B100B10,0C100C10,FASTCMD_IDLE
1,1,01110111,02110211,03110311,04110411,05110511,06110611,07110711,08110811,09110911,0A110A11,0B110B11,0C110C11,FASTCMD_IDLE
1,1,01120112,02120212,03120312,04120412,05120512,06120612,07120712,08120812,09120912,0A120A12,0B120B12,0C120C12,FASTCMD_IDLE
1,1,01130113,02130213,03130313,04130413,05130513,06130613,07130713,08130813,09130913,0A130A13,0B130B13,0C130C13,FASTCMD_IDLE
1,1,01140114,02140214,03140314,04140414,05140514,06140614,07140714,08140814,09140914,0A140A14,0B140B14,0C140C14,FASTCMD_IDLE
1,1,01150115,02150215,03150315,04150415,05150515,06150615,07150715,08150815,09150915,0A150A15,0B150B15,0C150C15,FASTCMD_IDLE
1,1,01160116,02160216,03160316,04160416,05160516,06160616,07160716,08160816,09160916,0A160A16,0B160B16,0C160C16,FASTCMD_IDLE
1,1,01170117,02170217,03170317,04170417,05170517,06170617,07170717,08170817,09170917,0A170A17,0B170B17,0C170C17,FASTCMD_IDLE
1,1,01180118,02180218,03180318,04180418,05180518,06180618,07180718,08180818,09180918,0A180A18,0B180B18,0C180C18,FASTCMD_IDLE
1,1,01190119,02190219,03190319,04190419,05190519,06190619,07190719,08190819,09190919,0A190A19,0B190B19,0C190C19,FASTCMD_IDLE
1,1,011A011A,021A021A,031A031A,041A041A,051A051A,061A061A,071A071A,081A081A,091A091A,0A1A0A1A,0B1A0B1A,0C1A0C1A,FASTCMD_IDLE
1,1,011B011B,021B021B,031B031B,041B041B,051B051B,061B061B,071B071B,081B081B,091B091B,0A1B0A1B,0B1B0B1B,0C1B0C1B,FASTCMD_IDLE
1,1,011C011C,021C021C,031C031C,041C041C,051C051C,061C061C,071C071C,081C081C,091C091C,0A1C0A1C,0B1C0B1C,0C1C0C1C,FASTCMD_IDLE
1,1,011D011D,021D021D,031D031D,041D041D,051D051D,061D061D,071D071D,081D081D,091D091D,0A1D0A1D,0B1D0B1D,0C1D0C1D,FASTCMD_IDLE
1,1,011E011E,021E021E,031E031E,041E041E,051E051E,061E061E,071E071E,081E081E,091E091E,0A1E0A1E,0B1E0B1E,0C1E0C1E,FASTCMD_IDLE
1,1,011F011F,021F021F,031F031F,041F041F,051F051F,061F061F,071F071F,081F081F,091F091F,0A1F0A1F,0B1F0B1F,0C1F0C1F,FASTCMD_IDLE
1,1,01200120,02200220,03200320,04200420,05200520,06200620,07200720,08200820,09200920,0A200A20,0B200B20,0C200C20,FASTCMD_IDLE
1,1,01210121,02210221,03210321,04210421,05210521,06210621,07210721,08210821,09210921,0A210A21,0B210B21,0C210C21,FASTCMD_IDLE
1,1,01220122,02220222,03220322,04220422,05220522,06220622,07220722,08220822,09220922,0A220A22,0B220B22,0C220C22,FASTCMD_IDLE
1,1,01230123,02230223,03230323,04230423,05230523,06230623,07230723,08230823,09230923,0A230A23,0B230B23,0C230C23,FASTCMD_IDLE
1,1,01240124,02240224,03240324,04240424,05240524,06240624,07240724,08240824,09240924,0A240A24,0B240B24,0C240C24,FASTCMD_IDLE
1,1,01250125,02250225,03250325,04250425,05250525,06250625,07250725,08250825,09250925,0A250A25,0B250B25,0C250C25,FASTCMD_IDLE
1,1,01260126,02260226,03260326,04260426,05260526,06260626,07260726,08260826,09260926,0A260A26,0B260B26,0C260C26,FASTCMD_IDLE
1,1,01270127,02270227,03270327,04270427,05270527,06270627,07270727,08270827,09270927,0A270A27,0B270B27,0C270C27,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,50020475,50020405,50020445,50020405,50020405,50020425,50020445,50020425,50020465,50020435,50020465,50020405,FASTCMD_IDLE
1,1,11011101,12011201,13011301,14011401,15011501,16011601,17011701,18011801,19011901,1A011A01,1B011B01,1C011C01,FASTCMD_IDLE
1,1,11021102,12021202,13021302,14021402,15021502,16021602,17021702,18021802,19021902,1A021A02,1B021B02,1C021C02,FASTCMD_IDLE
1,1,11031103,12031203,13031303,14031403,15031503,16031603,17031703,18031803,19031903,1A031A03,1B031B03,1C031C03,FASTCMD_IDLE
1,1,11041104,12041204,13041304,14041404,15041504,16041604,17041704,18041804,19041904,1A041A04,1B041B04,1C041C04,FASTCMD_IDLE
1,1,11051105,12051205,13051305,14051405,15051505,16051605,17051705,18051805,19051905,1A051A05,1B051B05,1C051C05,FASTCMD_IDLE
1,1,11061106,12061206,13061306,14061406,15061506,16061606,17061706,18061806,19061906,1A061A06,1B061B06,1C061C06,FASTCMD_IDLE
1,1,11071107,12071207,13071307,14071407,15071507,16071607,17071707,18071807,19071907,1A071A07,1B071B07,1C071C07,FASTCMD_IDLE
1,1,11081108,12081208,13081308,14081408,15081508,16081608,17081708,18081808,19081908,1A081A08,1B081B08,1C081C08,FASTCMD_IDLE
1,1,11091109,12091209,13091309,14091409,15091509,16091609,17091709,18091809,19091909,1A091A09,1B091B09,1C091C09,FASTCMD_IDLE
1,1,110A110A,120A120A,130A130A,140A140A,150A150A,160A160A,170A170A,180A180A,190A190A,1A0A1A0A,1B0A1B0A,1C0A1C0A,FASTCMD_IDLE
1,1,110B110B,120B120B,130B130B,140B140B,150B150B,160B160B,170B170B,180B180B,190B190B,1A0B1A0B,1B0B1B0B,1C0B1C0B,FASTCMD_IDLE
1,1,110C110C,120C120C,130C130C,140C140C,150C150C,160C160C,170C170C,180C180C,190C190C,1A0C1A0C,1B0C1B0C,1C0C1C0C,FASTCMD_IDLE
1,1,110D110D,120D120D,130D130D,140D140D,150D150D,160D160D,170D170D,180D180D,190D190D,1A0D1A0D,1B0D1B0D,1C0D1C0D,FASTCMD_IDLE
1,1,110E110E,120E120E,130E130E,140E140E,150E150E,160E160E,170E170E,180E180E,190E190E,1A0E1A0E,1B0E1B0E,1C0E1C0E,FASTCMD_IDLE
1,1,110F110F,120F120F,130F130F,140F140F,150F150F,160F160F,170F170F,180F180F,190F190F,1A0F1A0F,1B0F1B0F,1C0F1C0F,FASTCMD_IDLE
1,1,11101110,12101210,13101310,14101410,15101510,16101610,17101710,18101810,19101910,1A101A10,1B101B10,1C101C10,FASTCMD_IDLE
1,1,11111111,12111211,13111311,14111411,15111511,16111611,17111711,18111811,19111911,1A111A11,1B111B11,1C111C11,FASTCMD_IDLE
1,1,11121112,12121212,13121312,14121412,15121512,16121612,17121712,18121812,19121912,1A121A12,1B121B12,1C121C12,FASTCMD_IDLE
1,1,11131113,12131213,13131313,14131413,15131513,16131613,17131713,18131813,19131913,1A131A13,1B131B13,1C131C13,FASTCMD_IDLE
1,1,11141114,12141214,13141314,14141414,15141514,16141614,17141714,18141814,19141914,1A141A14,1B141B14,1C141C14,FASTCMD_IDLE
1,1,11151115,12151215,13151315,14151415,15151515,16151615,17151715,18151815,19151915,1A151A15,1B151B15,1C151C15,FASTCMD_IDLE
1,1,11161116,12161216,13161316,14161416,15161516,16161616,17161716,18161816,19161916,1A161A16,1B161B16,1C161C16,FASTCMD_IDLE
1,1,11171117,12171217,13171317,14171417,15171517,16171617,17171717,18171817,19171917,1A171A17,1B171B17,1C171C17,FASTCMD_IDLE
1,1,11181118,12181218,13181318,14181418,15181518,16181618,17181718,18181818,19181918,1A181A18,1B181B18,1C181C18,FASTCMD_IDLE
1,1,11191119,12191219,13191319,14191419,15191519,16191619,17191719,18191819,19191919,1A191A19,1B191B19,1C191C19,FASTCMD_IDLE
1,1,111A111A,121A121A,131A131A,141A141A,151A151A,161A161A,171A171A,181A181A,191A191A,1A1A1A1A,1B1A1B1A,1C1A1C1A,FASTCMD_IDLE
1,1,111B111B,121B121B,131B131B,141B141B,151B151B,161B161B,171B171B,181B181B,191B191B,1A1B1A1B,1B1B1B1B,1C1B1C1B,FASTCMD_IDLE
1,1,111C111C,121C121C,131C131C,141C141C,151C151C,161C161C,171C171C,181C181C,191C191C,1A1C1A1C,1B1C1B1C,1C1C1C1C,FASTCMD_IDLE
1,1,111D111D,121D121D,131D131D,141D141D,151D151D,161D161D,171D171D,181D181D,191D191D,1A1D1A1D,1B1D1B1D,1C1D1C1D,FASTCMD_IDLE
1,1,111E111E,121E121E,131E131E,141E141E,151E151E,161E161E,171E171E,181E181E,191E191E,1A1E1A1E,1B1E1B1E,1C1E1C1E,FASTCMD_IDLE
1,1,111F111F,121F121F,131F131F,141F141F,151F151F,161F161F,171F171F,181F181F,191F191F,1A1F1A1F,1B1F1B1F,1C1F1C1F,FASTCMD_IDLE
1,1,11201120,12201220,13201320,14201420,15201520,16201620,17201720,18201820,19201920,1A201A20,1B201B20,1C201C20,FASTCMD_IDLE
1,1,11211121,12211221,13211321,14211421,15211521,16211621,17211721,18211821,19211921,1A211A21,1B211B21,1C211C21,FASTCMD_IDLE
1,1,11221122,12221222,13221322,14221422,15221522,16221622,17221722,18221822,19221922,1A221A22,1B221B22,1C221C22,FASTCMD_IDLE
1,1,11231123,12231223,13231323,14231423,15231523,16231623,17231723,18231823,19231923,1A231A23,1B231B23,1C231C23,FASTCMD_IDLE
1,1,11241124,12241224,13241324,14241424,15241524,16241624,17241724,18241824,19241924,1A241A24,1B241B24,1C241C24,FASTCMD_IDLE
1,1,11251125,12251225,13251325,14251425,15251525,16251625,17251725,18251825,19251925,1A251A25,1B251B25,1C251C25,FASTCMD_IDLE
1,1,11261126,12261226,13261326,14261426,15261526,16261626,17261726,18261826,19261926,1A261A26,1B261B26,1C261C26,FASTCMD_IDLE
1,1,11271127,12271227,13271327,14271427,15271527,16271627,17271727,18271827,19271927,1A271A27,1B271B27,1C271C27,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,50030845,50030875,50030875,50030865,50030825,50030825,50030835,50030865,50030805,50030845,50030815,50030865,FASTCMD_IDLE
1,1,21012101,22012201,23012301,24012401,25012501,26012601,27012701,28012801,29012901,2A012A01,2B012B01,2C012C01,FASTCMD_IDLE
1,1,21022102,22022202,23022302,24022402,25022502,26022602,27022702,28022802,29022902,2A022A02,2B022B02,2C022C02,FASTCMD_IDLE
1,1,21032103,22032203,23032303,24032403,25032503,26032603,27032703,28032803,29032903,2A032A03,2B032B03,2C032C03,FASTCMD_IDLE
1,1,21042104,22042204,23042304,24042404,25042504,26042604,27042704,28042804,29042904,2A042A04,2B042B04,2C042C04,FASTCMD_IDLE
1,1,21052105,22052205,23052305,24052405,25052505,26052605,27052705,28052805,29052905,2A052A05,2B052B05,2C052C05,FASTCMD_IDLE
1,1,21062106,22062206,23062306,24062406,25062506,26062606,27062706,28062806,29062906,2A062A06,2B062B06,2C062C06,FASTCMD_IDLE
1,1,21072107,22072207,23072307,24072407,25072507,26072607,27072707,28072807,29072907,2A072A07,2B072B07,2C072C07,FASTCMD_IDLE
1,1,21082108,22082208,23082308,24082408,25082508,26082608,27082708,28082808,29082908,2A082A08,2B082B08,2C082C08,FASTCMD_IDLE
1,1,21092109,22092209,23092309,24092409,25092509,26092609,27092709,28092809,29092909,2A092A09,2B092B09,2C092C09,FASTCMD_IDLE
1,1,210A210A,220A220A,230A230A,240A240A,250A250A,260A260A,270A270A,280A280A,290A290A,2A0A2A0A,2B0A2B0A,2C0A2C0A,FASTCMD_IDLE
1,1,210B210B,220B220B,230B230B,240B240B,250B250B,260B260B,270B270B,280B280B,290B290B,2A0B2A0B,2B0B2B0B,2C0B2C0B,FASTCMD_IDLE
1,1,210C210C,220C220C,230C230C,240C240C,250C250C,260C260C,270C270C,280C280C,290C290C,2A0C2A0C,2B0C2B0C,2C0C2C0C,FASTCMD_IDLE
1,1,210D210D,220D220D,230D230D,240D240D,250D250D,260D260D,270D270D,280D280D,290D290D,2A0D2A0D,2B0D2B0D,2C0D2C0D,FASTCMD_IDLE
1,1,210E210E,220E220E,230E230E,240E240E,250E250E,260E260E,270E270E,280E280E,290E290E,2A0E2A0E,2B0E2B0E,2C0E2C0E,FASTCMD_IDLE
1,1,210F210F,220F220F,230F230F,240F240F,250F250F,260F260F,270F270F,280F280F,290F290F,2A0F2A0F,2B0F2B0F,2C0F2C0F,FASTCMD_IDLE
1,1,21102110,22102210,23102310,24102410,25102510,26102610,27102710,28102810,29102910,2A102A10,2B102B10,2C102C10,FASTCMD_IDLE
1,1,21112111,22112211,23112311,24112411,25112511,26112611,27112711,28112811,29112911,2A112A11,2B112B11,2C112C11,FASTCMD_IDLE
1,1,21122112,22122212,23122312,24122412,25122512,26122612,27122712,28122812,29122912,2A122A12,2B122B12,2C122C12,FASTCMD_IDLE
1,1,21132113,22132213,23132313,24132413,25132513,26132613,27132713,28132813,29132913,2A132A13,2B132B13,2C132C13,FASTCMD_IDLE
1,1,21142114,22142214,23142314,24142414,25142514,26142614,27142714,28142814,29142914,2A142A14,2B142B14,2C142C14,FASTCMD_IDLE
1,1,21152115,22152215,23152315,24152415,25152515,26152615,27152715,28152815,29152915,2A152A15,2B152B15,2C152C15,FASTCMD_IDLE
1,1,21162116,22162216,23162316,24162416,25162516,26162616,27162716,28162816,29162916,2A162A16,2B162B16,2C162C16,FASTCMD_IDLE
1,1,21172117,22172217,23172317,24172417,25172517,26172617,27172717,28172817,29172917,2A172A17,2B172B17,2C172C17,FASTCMD_IDLE
1,1,21182118,22182218,23182318,24182418,25182518,26182618,27182718,28182818,29182918,2A182A18,2B182B18,2C182C18,FASTCMD_IDLE
1,1,21192119,22192219,23192319,24192419,25192519,26192619,27192719,28192819,29192919,2A192A19,2B192B19,2C192C19,FASTCMD_IDLE
1,1,211A211A,221A221A,231A231A,241A241A,251A251A,261A261A,271A271A,281A281A,291A291A,2A1A2A1A,2B1A2B1A,2C1A2C1A,FASTCMD_IDLE
1,1,211B211B,221B221B,231B231B,241B241B,251B251B,261B261B,271B271B,281B281B,291B291B,2A1B2A1B,2B1B2B1B,2C1B2C1B,FASTCMD_IDLE
1,1,211C211C,221C221C,231C231C,241C241C,251C251C,261C261C,271C271C,281C281C,291C291C,2A1C2A1C,2B1C2B1C,2C1C2C1C,FASTCMD_IDLE
1,1,211D211D,221D221D,231D231D,241D241D,251D251D,261D261D,271D271D,281D281D,291D291D,2A1D2A1D,2B1D2B1D,2C1D2C1D,FASTCMD_IDLE
1,1,211E211E,221E221E,231E231E,241E241E,251E251E,261E261E,271E271E,281E281E,291E291E,2A1E2A1E,2B1E2B1E,2C1E2C1E,FASTCMD_IDLE
1,1,211F211F,221F221F,231F231F,241F241F,251F251F,261F261F,271F271F,281F281F,291F291F,2A1F2A1F,2B1F2B1F,2C1F2C1F,FASTCMD_IDLE
1,1,21202120,22202220,23202320,24202420,25202520,26202620,27202720,28202820,29202920,2A202A20,2B202B20,2C202C20,FASTCMD_IDLE
1,1,21212121,22212221,23212321,24212421,25212521,26212621,27212721,28212821,29212921,2A212A21,2B212B21,2C212C21,FASTCMD_IDLE
1,1,21222122,22222222,23222322,24222422,25222522,26222622,27222722,28222822,29222922,2A222A22,2B222B22,2C222C22,FASTCMD_IDLE
1,1,21232123,22232223,23232323,24232423,25232523,26232623,27232723,28232823,29232923,2A232A23,2B232B23,2C232C23,FASTCMD_IDLE
1,1,21242124,22242224,23242324,24242424,25242524,26242624,27242724,28242824,29242924,2A242A24,2B242B24,2C242C24,FASTCMD_IDLE
1,1,21252125,22252225,23252325,24252425,25252525,26252625,27252725,28252825,29252925,2A252A25,2B252B25,2C252C25,FASTCMD_IDLE
1,1,21262126,22262226,23262326,24262426,25262526,26262626,27262726,28262826,29262926,2A262A26,2B262B26,2C262C26,FASTCMD_IDLE
1,1,21272127,22272227,23272327,24272427,25272527,26272627,27272727,28272827,29272927,2A272A27,2B272B27,2C272C27,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
